Unnamed: 0,date,traffic
1,20180101,9117550.06
2,20180102,10810745.17
3,20180103,11188726.99
4,20180104,11304349.59
5,20180105,11514949.7
6,20180106,10802423.7
7,20180107,9331974.698
8,20180108,10766430.14
9,20180109,10931745.2
10,20180110,11261076.99
11,20180111,11361456.13
12,20180112,11603867.59
13,20180113,10824946.82
14,20180114,9821867.825
15,20180115,11267361.39
16,20180116,11323737.54
17,20180117,11382699.24
18,20180118,11160880.57
19,20180119,11429058.06
20,20180120,10875364.53
21,20180121,9504121.055
22,20180122,10729045.14
23,20180123,10891518.43
24,20180124,10924646.79
25,20180125,11046302.65
26,20180126,11276726.59
27,20180127,10616106.29
28,20180128,9388030.788
29,20180129,10961370.43
30,20180130,10571055.72
31,20180131,10606197.15
32,20180201,11286250.42
33,20180202,11465337.97
34,20180203,10839099.77
35,20180204,9521191.544
36,20180205,11037066.48
37,20180206,11214767.41
38,20180207,11265735.49
39,20180208,11446137.18
40,20180209,11520145.06
41,20180210,10918574.86
42,20180211,9416428.786
43,20180212,11226414.53
44,20180213,11501164.97
45,20180214,11242702.97
46,20180215,9166150.562
47,20180216,9352611.846
48,20180217,8550798.994
49,20180218,8795431.966
50,20180219,10743678.97
51,20180220,11177013.97
52,20180221,11195525.36
53,20180222,11355166.34
54,20180223,11174216.35
55,20180224,10979573.33
56,20180225,9737147.966
57,20180226,11277324.47
58,20180227,11415818.03
59,20180228,11334821.27
60,20180301,10093719.6
61,20180302,11246266.61
62,20180303,10809365.21
63,20180304,9035275.542
64,20180305,11026874.97
65,20180306,11417370.79
66,20180307,11383426.32
67,20180308,11289892.88
68,20180309,11659107.94
69,20180310,11114383.92
70,20180311,9854153.408
71,20180312,11176981.52
72,20180313,11438288.02
73,20180314,11532171.14
74,20180315,10970559.55
75,20180316,11605972.64
76,20180317,11086702.03
77,20180318,9787414.033
78,20180319,11025195.82
79,20180320,11444528.55
80,20180321,11183199.46
81,20180322,11604759.11
82,20180323,11765991.1
83,20180324,11242168.78
84,20180325,9913150.465
85,20180326,11180193.64
86,20180327,11483897.93
87,20180328,11549835.79
88,20180329,11534995.15
89,20180330,11772766.63
90,20180331,11207796.73
91,20180401,9834908.557
92,20180402,11114917.67
93,20180403,11300650.8
94,20180404,11370186.98
95,20180405,11037552.07
96,20180406,11670143
97,20180407,11226066.06
98,20180408,9690938.145
99,20180409,11215870.41
100,20180410,11400929.7
101,20180411,11512193.73
102,20180412,11688389.62
103,20180413,11781548.99
104,20180414,10857173.03
105,20180415,10034040.52
106,20180416,11518261.98
107,20180417,11571084.49
108,20180418,11554571.49
109,20180419,11569235.11
110,20180420,11762741.84
111,20180421,11365608.55
112,20180422,9635191.47
113,20180423,10590705.51
114,20180424,11410370.9
115,20180425,11656132.13
116,20180426,11758276.69
117,20180427,11855768.68
118,20180428,11846971.37
119,20180429,10208666.88
120,20180430,11524059.96
121,20180501,10611287.73
122,20180502,11003588.34
123,20180503,11395208.03
124,20180504,11910525.37
125,20180505,10984504.51
126,20180506,9814677.559
127,20180507,10480665.24
128,20180508,11564801.43
129,20180509,11583579.36
130,20180510,11654977.69
131,20180511,11830380.14
132,20180512,10629994.98
133,20180513,10008546.81
134,20180514,11313337.18
135,20180515,11585959.12
136,20180516,10862563.78
137,20180517,10867944.24
138,20180518,11526067.25
139,20180519,11415984.23
140,20180520,10303960.54
141,20180521,11630327.53
142,20180522,10288223.87
143,20180523,11518149.75
144,20180524,11677233.1
145,20180525,11907087.72
146,20180526,11406963.16
147,20180527,10062039.55
148,20180528,11427577.47
149,20180529,11562720.73
150,20180530,11642530.52
151,20180531,11640427.36
152,20180601,11857739.87
153,20180602,11378513.53
154,20180603,9952152.776
155,20180604,11370746.41
156,20180605,11752000.67
157,20180606,10418663.91
158,20180607,11524981.42
159,20180608,11764204.76
160,20180609,11240669.18
161,20180610,9883298.291
162,20180611,11365532.58
163,20180612,11653268.89
164,20180613,10567144.88
165,20180614,11465719.49
166,20180615,11822994.79
167,20180616,11379198.71
168,20180617,10000806.75
169,20180618,11183953.32
170,20180619,11544037.96
171,20180620,11611748.4
172,20180621,11711039.47
173,20180622,11772133.64
174,20180623,11368581.44
175,20180624,9988418.72
176,20180625,11471100.56
177,20180626,11122602.4
178,20180627,11521741.17
179,20180628,11598021.83
180,20180629,11691467.21
181,20180630,10846456.2
182,20180701,9339426.627
183,20180702,10846527.65
184,20180703,11444137.01
185,20180704,11576095.69
186,20180705,11393732.76
187,20180706,11797012
188,20180707,11430288.04
189,20180708,10165240.58
190,20180709,11006504.33
191,20180710,11330420.83
192,20180711,11509220.5
193,20180712,11622815.07
194,20180713,11904489.58
195,20180714,11441083.4
196,20180715,10179987.18
197,20180716,11400184.44
198,20180717,11570730.22
199,20180718,11660047.32
200,20180719,11749791.31
201,20180720,11742424.83
202,20180721,11314637.93
203,20180722,9998947.116
204,20180723,11241965.84
205,20180724,11488594.43
206,20180725,11553327.56
207,20180726,11692972.09
208,20180727,11748933.97
209,20180728,11039779.77
210,20180729,9989393.626
211,20180730,11320239.94
212,20180731,11553488.75
213,20180801,11498488.66
214,20180802,11426211.77
215,20180803,11487180.99
216,20180804,11671533.14
217,20180805,9704408.928
218,20180806,10997931.19
219,20180807,11276164.43
220,20180808,11401682.99
221,20180809,11409963.73
222,20180810,11713160.09
223,20180811,11274201.52
224,20180812,9929651.048
225,20180813,11294164.62
226,20180814,11650734.55
227,20180815,10398803.71
228,20180816,11535019.74
229,20180817,11665465.27
230,20180818,11273873.65
231,20180819,9962233.499
232,20180820,11251427.54
233,20180821,11268661.07
234,20180822,11373348.85
235,20180823,11074968.62
236,20180824,10863038.31
237,20180825,11383087.79
238,20180826,10106871.9
239,20180827,10936844.09
240,20180828,10988534.95
241,20180829,11047838.35
242,20180830,11359491.12
243,20180831,11721745.52
244,20180901,11293150.66
245,20180902,10204590.8
246,20180903,11050755.26
247,20180904,11487966.55
248,20180905,11709850.79
249,20180906,11724151.44
250,20180907,11916127.22
251,20180908,11696764.81
252,20180909,10449544.17
253,20180910,11620661.17
254,20180911,11822680.97
255,20180912,11838343.76
256,20180913,11928081.49
257,20180914,11898549.7
258,20180915,11418219.62
259,20180916,10584482.53
260,20180917,11595080
261,20180918,11922278.66
262,20180919,11979835.38
263,20180920,11670471.28
264,20180921,11701602.26
265,20180922,11117069.49
266,20180923,9689108.56
267,20180924,10235413.12
268,20180925,9298670.893
269,20180926,9466304.51
270,20180927,11388175.75
271,20180928,11938281.39
272,20180929,11415338.18
273,20180930,10293103.84
274,20181001,11659182.52
275,20181002,11973522.3
276,20181003,10824336.39
277,20181004,11821453.74
278,20181005,11658131.54
279,20181006,10866405.06
280,20181007,10334158.72
281,20181008,11686317.97
282,20181009,10732206.1
283,20181010,11730934.05
284,20181011,11906706.84
285,20181012,12119408.48
286,20181013,11749427.38
287,20181014,10639876.81
288,20181015,11605912.4
289,20181016,11898610.83
290,20181017,11890837.86
291,20181018,11696730.42
292,20181019,12018465.09
293,20181020,11652084.79
294,20181021,10699784.18
295,20181022,11435959.52
296,20181023,11784474.94
297,20181024,11912438.3
298,20181025,12074099.3
299,20181026,11845803.7
300,20181027,11789380.21
301,20181028,10354756.51
302,20181029,11723323.04
303,20181030,11819041.63
304,20181031,11795977.52
305,20181101,11925170.32
306,20181102,12000120.81
307,20181103,11673980.62
308,20181104,10644275.1
309,20181105,11572876.68
310,20181106,11716395.23
311,20181107,11648787.18
312,20181108,11328334.95
313,20181109,11884597.82
314,20181110,12243921.13
315,20181111,11209568.2
316,20181112,11808435.59
317,20181113,11836912.79
318,20181114,11844654.5
319,20181115,11821147.15
320,20181116,11915201.12
321,20181117,11586887.25
322,20181118,10436061.11
323,20181119,11489214.44
324,20181120,11686778.06
325,20181121,11631788.71
326,20181122,11727263.43
327,20181123,11906204.06
328,20181124,10720891.27
329,20181125,10317246.36
330,20181126,11382898.97
331,20181127,11588728.2
332,20181128,11707271.39
333,20181129,11703663.97
334,20181130,11974395.48
335,20181201,11553514.86
336,20181202,10389680.25
337,20181203,10939163.31
338,20181204,11510819.29
339,20181205,11571283.26
340,20181206,11653187.17
341,20181207,11837109.5
342,20181208,11168585.4
343,20181209,9753988.413
344,20181210,11211558.55
345,20181211,11322591.03
346,20181212,11559816.14
347,20181213,11009836.16
348,20181214,11608608.77
349,20181215,11228194.12
350,20181216,11228194.12
351,20181217,11842143.53
352,20181218,11651361
353,20181219,11700432.07
354,20181220,11260659.52
355,20181221,11750420.06
356,20181222,11305787.5
357,20181223,9935640.165
358,20181224,11343869.41
359,20181225,9809843.743
360,20181226,11471867.02
361,20181227,11569956.75
362,20181228,11665137.45
363,20181229,10886975.14
364,20181230,9614280.454
365,20181231,11116160.2
